sku, name,is_active,description,stock,brand,created_by,notes,updated_by,on_sale,family_id,family_name,category,category_id,category_slug,msrp,each_price,each_weight,each_length,each_width,each_height,each_cost,each_discount,each_upc,case_qty,case_price,case_cost,case_weight,case_length,case_width,case_height,case_upc,case_discount,pallet_qty,pallet_price,pallet_cost,pallet_weight,pallet_length,pallet_width,pallet_height,pallet_upc,pallet_discount,warranty,hazmat,legacy_sku,image_thumb,image_medium,image_family_thumb,image_family_medium,sold_in_quantities_of,discontinued
40201-002020,01PSD032-36B,,"Dripper Assy 3.2 GPH Plum/Black Dripper, Black Tubing 36""",4,Netafim,admin,,,,,,Irrigation,,,,1.19,,,,,,,,25,29.75,,,,,,,,,,,,,,,,,,,,TBD,TBD,,,25,
40201-024700,01PSD032-48B,,"Dripper Assy 3.2 GPH Plum/Black Dripper, Black Tubing 48""",24,Netafim,admin,,,,,,Irrigation,,,,1.27,,,,,,,,25,31.75,,,,,,,,,,,,,,,,,,,,TBD,TBD,,,25,
